Source,Target
Jagung,Jatim
Jagung,Jateng
Jagung,Lampung
Jagung,Sumut
Jagung,Sumsel
Jagung,NTB
Jagung,Jabar
Jagung,Sulut
Jagung,Gotontalo
Jagung,Sumsel
Padi,Jatim
Padi,Jabar
Padi,Jateng
Padi,Sulsel
Padi,Sumsel
Padi,Lampung
Padi,Sumut
Padi,Banten
Padi,NTT
Padi,Sumbar
Padi,Aceh
Kakao,Sulteng
Kakao,Sulsel
Kakao,Sulbar
Kakao,Lampung
Kakao,Sumbar
Kakao,Aceh
Kakao,Sumut
Kedelai,Jatim
Kedelai,Jateng
Kedelai,Jabar
Kedelai,NTB
Kedelai,Sulsel
Kedelai,Lampung
Kedelai,Aceh
Pisang,Jatim
Pisang,Lampung
Pisang,Jabar
Pisang,Bali
Pisang,Jateng
Ubi,Jabar
Ubi,Jatim
Ubi,Papua
Ubi,Jateng
Ubi,Sumbar
Ubi,Sumut
Ubi,NTT
Bawang,Aceh
Bawang,Sumut
Bawang,Sumbar
